Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
thaar,2,12,1,1,1,0,40,30,0,1,2,0,0,0,3,0,6,-5,5,19,0.449402
ma,2,12,2,1,2,30,15,40,2,2,1,0,0,0,3,0,6,-4,5,19,0.277572
kal,2,12,3,1,3,40,15,15,1,2,2,0,1,0,3,0,6,-3,5,19,0.484649
kkan,2,12,4,2,1,15,36,15,2,2,2,0,0,1,3,0,6,-2,5,19,0.414155
pu,2,12,5,2,2,15,44,36,2,1,2,1,1,0,3,0,6,-1,5,19,0.345197
lla,2,12,6,2,3,36,30,44,2,2,1,0,0,1,3,1,6,0,5,19,0.444996
tha,2,12,7,3,1,44,30,30,1,2,2,1,1,0,3,0,6,1,5,19,0.348066
tthee,2,12,8,3,2,30,47,30,2,1,2,0,0,1,3,0,6,2,5,19,0.489055
va,2,12,9,3,3,30,42,47,2,1,1,1,0,0,3,0,6,3,5,19,0.259824
ri,2,12,10,4,1,47,15,42,1,1,1,0,0,0,3,0,6,4,4,19,0.449402
ke,2,12,11,4,2,42,25,15,1,2,1,0,0,0,3,0,6,5,4,19,0.225674
doo,2,12,12,4,3,15,30,25,1,2,2,0,0,0,3,0,6,6,4,19,0.485252
thaa,2,12,1,1,1,25,40,30,2,1,2,0,0,0,3,0,6,-5,4,18,0.355698
ma,2,12,2,1,2,30,50,40,2,1,1,0,0,0,3,0,6,-4,4,18,0.209107
sa,2,12,3,1,3,40,48,50,1,2,1,0,0,0,3,0,6,-3,4,18,0.446464
shii,2,12,4,2,1,50,44,48,1,1,2,0,0,0,3,0,6,-2,4,18,0.594867
la,2,12,5,2,2,48,40,44,2,1,1,0,0,0,3,0,6,-1,4,18,0.433883
ma,2,12,6,2,3,44,15,40,1,2,1,0,0,0,3,1,6,0,4,18,0.268846
ka,2,12,7,3,1,40,30,15,1,2,2,0,1,0,3,0,6,1,5,18,0.27378
ttee,2,12,8,3,2,15,34,30,2,1,2,0,0,1,3,0,6,2,5,18,0.592363
na,2,12,9,3,3,30,40,34,2,2,1,1,0,0,3,0,6,3,5,18,0.22015
maa,2,12,10,4,1,34,48,40,1,1,2,0,0,0,3,0,6,4,5,18,0.331985
shu,2,12,11,4,2,40,34,48,2,2,1,0,0,0,3,0,6,5,5,18,0.375708
nii,2,12,12,4,3,48,42,34,1,2,2,0,0,0,3,0,6,6,5,18,0.606267
raa,2,12,1,1,1,34,40,42,2,1,2,0,0,0,3,0,6,-5,5,18,0.468112
ma,2,12,2,1,2,42,25,40,2,2,1,0,0,0,3,0,6,-4,5,18,0.25577
dee,2,12,3,1,3,40,47,25,1,2,2,0,0,0,3,0,6,-3,5,18,0.395587
van,2,12,4,2,1,25,20,47,2,1,2,0,0,0,3,0,6,-2,4,18,0.454458
cha,2,12,5,2,2,47,42,20,2,1,1,0,0,0,3,0,6,-1,4,18,0.268579
ri,2,12,6,2,3,20,30,42,1,2,1,0,0,0,3,1,6,0,4,18,0.419762
thaa,2,12,7,3,1,42,40,30,1,1,2,0,0,0,3,0,6,1,4,18,0.455344
mru,2,12,8,3,2,30,30,40,2,1,1,0,0,0,3,0,6,2,4,18,0.31647
tha,2,12,9,3,3,40,40,30,1,2,1,0,0,0,3,0,6,3,4,18,0.429272
mi,2,12,10,4,1,30,34,40,1,1,2,0,1,0,3,0,6,4,5,18,0.256556
nni,2,12,11,4,2,40,41,34,2,2,1,0,0,1,3,0,6,5,5,18,0.338447
yum,2,12,12,4,3,34,2,41,1,2,2,1,0,0,3,0,6,6,5,18,0.616935
aa,2,12,1,1,1,41,40,2,2,2,2,0,0,0,3,0,6,-5,5,19,0.387971
moo,2,12,2,1,2,2,25,40,2,1,2,0,0,0,3,0,6,-4,5,19,0.436468
da,2,12,3,1,3,40,40,25,2,2,1,0,0,0,3,0,6,-3,5,19,0.250748
mul,2,12,4,2,1,25,15,40,1,2,2,0,1,0,3,0,6,-2,5,19,0.482856
kko,2,12,5,2,2,40,34,15,2,1,2,0,1,1,3,0,6,-1,5,19,0.346241
ndu,2,12,6,2,3,15,20,34,2,2,1,1,0,1,3,1,6,0,5,19,0.37532
cho,2,12,7,3,1,34,44,20,1,2,2,1,1,0,3,0,6,1,5,19,0.253672
lluu,2,12,8,3,2,20,50,44,2,1,2,0,0,1,3,0,6,2,5,19,0.569306
sa,2,12,9,3,3,44,42,50,2,1,1,1,0,0,3,0,6,3,5,19,0.311844
ra,2,12,10,4,1,50,50,42,1,1,1,0,0,0,3,0,6,4,4,19,0.312064
sa,2,12,11,4,2,42,40,50,1,2,1,0,0,0,3,0,6,5,4,19,0.289987
maay,2,12,12,4,3,50,9,40,1,1,2,0,0,0,3,0,6,6,4,19,0.676768
e,2,12,1,1,1,40,34,9,2,1,1,0,0,0,3,0,6,-5,4,19,0.419211
nki,2,12,2,1,2,9,44,34,1,2,1,0,0,0,3,0,6,-4,4,19,0.207628
loo,2,12,3,1,3,34,15,44,1,2,2,0,0,0,3,0,6,-3,4,19,0.429098
kel,2,12,4,2,1,44,36,15,2,2,2,0,1,0,3,0,6,-2,5,19,0.517985
ppin,2,12,5,2,2,15,20,36,2,1,2,0,0,1,3,0,6,-1,5,19,0.403627
chu,2,12,6,2,3,36,42,20,2,2,1,1,0,0,3,1,6,0,5,19,0.266951
ru,2,12,7,3,1,20,15,42,1,1,2,0,1,0,3,0,6,1,5,19,0.278616
kki,2,12,8,3,2,42,24,15,2,2,1,0,0,1,3,0,6,2,5,19,0.445723
njaan,2,12,9,3,3,15,20,24,1,2,2,1,0,0,3,0,6,3,5,19,0.352897
cho,2,12,10,4,1,24,44,20,2,1,2,0,1,0,3,0,6,4,5,19,0.238123
llu,2,12,11,4,2,20,47,44,2,2,1,0,0,1,3,0,6,5,5,19,0.469646
van,2,12,12,4,3,44,36,47,1,1,2,1,0,0,3,0,6,6,5,19,0.537856
pa,2,12,1,1,1,47,34,36,2,1,1,0,0,0,3,0,6,-5,4,17,0.281241
nka,2,12,2,1,2,36,40,34,1,2,1,0,0,0,3,0,6,-4,4,17,0.210308
me,2,12,3,1,3,34,44,40,1,2,2,0,1,0,3,0,6,-3,4,17,0.427487
llaa,2,12,4,2,1,40,40,44,2,1,2,0,0,1,3,0,6,-2,4,17,0.475099
ma,2,12,5,2,2,44,15,40,2,1,1,1,0,0,3,0,6,-1,4,17,0.250475
ka,2,12,6,2,3,40,44,15,1,2,1,0,0,0,3,1,6,0,4,17,0.281241
lum,2,12,7,3,1,15,36,44,1,1,2,0,0,0,3,0,6,1,4,17,0.488504
pa,2,12,8,3,2,44,44,36,2,1,1,0,0,0,3,0,6,2,4,17,0.249649
la,2,12,9,3,3,36,22,44,1,2,1,0,0,0,3,0,6,3,4,17,0.281241
jaa,2,12,10,4,1,44,30,22,1,1,2,0,0,0,3,0,6,4,5,17,0.425812
thi,2,12,11,4,2,22,41,30,2,2,1,0,0,0,3,0,6,5,5,17,0.250432
yum,2,12,12,4,3,30,50,41,1,1,2,0,0,0,3,0,6,6,5,17,0.417188
sa,2,12,1,1,1,41,34,50,2,1,1,0,0,0,3,0,6,-5,3,17,0.281241
nka,2,12,2,1,2,50,25,34,1,1,1,0,0,0,3,0,6,-4,3,17,0.214237
da,2,12,3,1,3,34,40,25,1,2,1,0,0,0,3,0,6,-3,3,17,0.250432
mee,2,12,4,2,1,25,30,40,1,2,2,0,0,0,3,0,6,-2,5,17,0.47342
thum,2,12,5,2,2,40,47,30,2,1,2,0,0,0,3,0,6,-1,5,17,0.431345
va,2,12,6,2,3,30,42,47,2,1,1,0,0,0,3,1,6,0,5,17,0.210156
ri,2,12,7,3,1,47,15,42,1,1,1,0,0,0,3,0,6,1,3,17,0.281241
ka,2,12,8,3,2,42,41,15,1,1,1,0,0,0,3,0,6,2,3,17,0.234912
yu,2,12,9,3,3,15,40,41,1,2,1,0,0,0,3,0,6,3,3,17,0.250432
mi,2,12,10,4,1,41,44,40,1,2,2,0,1,0,3,0,6,4,6,17,0.421412
lla,2,12,11,4,2,40,44,44,2,2,2,0,1,1,3,0,6,5,6,17,0.48008
lloo,2,12,12,4,3,44,36,44,2,1,2,1,0,1,3,0,6,6,6,17,0.502352
pa,2,12,1,1,1,44,34,36,2,1,1,1,0,0,3,0,6,-5,3,18,0.281241
nka,2,12,2,1,2,36,22,34,1,1,1,0,0,0,3,0,6,-4,3,18,0.248493
ja,2,12,3,1,3,34,34,22,1,2,1,0,0,0,3,0,6,-3,3,18,0.250432
nee,2,12,4,2,1,22,30,34,1,2,2,0,0,0,3,0,6,-2,5,18,0.468143
thran,2,12,5,2,2,34,15,30,2,1,2,0,0,0,3,0,6,-1,5,18,0.49251
ka,2,12,6,2,3,30,33,15,2,1,1,0,0,0,3,1,6,0,5,18,0.259586
dha,2,12,7,3,1,15,15,33,1,2,1,0,0,0,3,0,6,1,5,18,0.281241
kal,2,12,8,3,2,33,15,15,1,2,2,0,0,0,3,0,6,2,5,18,0.488406
kee,2,12,9,3,3,15,30,15,2,2,2,0,1,0,3,0,6,3,5,18,0.427558
ttee,2,12,10,4,1,15,25,30,2,1,2,0,0,1,3,0,6,4,5,18,0.419255
di,2,12,11,4,2,30,34,25,2,2,1,1,0,0,3,0,6,5,5,18,0.248153
naal,2,12,12,4,3,25,39,34,1,2,2,0,0,0,3,0,6,6,5,18,0.559109
bhaar,2,12,1,1,1,34,17,39,2,1,2,0,0,0,3,0,6,-5,4,17,0.479929
ga,2,12,2,1,2,39,47,17,2,1,1,0,0,0,3,0,6,-4,4,17,0.2557
vi,2,12,3,1,3,17,41,47,1,2,1,0,0,0,3,0,6,-3,4,17,0.250432
yaa,2,12,4,2,1,47,15,41,1,1,2,0,0,0,3,0,6,-2,4,17,0.40912
ki,2,12,5,2,2,41,41,15,2,1,1,0,0,0,3,0,6,-1,4,17,0.241823
ya,2,12,6,2,3,15,22,41,1,2,1,0,0,0,3,1,6,0,4,17,0.281241
jaa,2,12,7,3,1,41,34,22,1,1,2,0,0,0,3,0,6,1,4,17,0.433312
na,2,12,8,3,2,22,15,34,2,1,1,0,0,0,3,0,6,2,4,17,0.250432
ki,2,12,9,3,3,34,30,15,1,2,1,0,0,0,3,0,6,3,4,17,0.281241
tha,2,12,10,4,1,15,34,30,1,1,2,0,1,0,3,0,6,4,5,17,0.423412
nnu,2,12,11,4,2,30,25,34,2,2,1,0,0,1,3,0,6,5,5,17,0.281241
dee,2,12,12,4,3,34,39,25,1,2,2,1,0,0,3,0,6,6,5,17,0.494369
bhaa,2,12,1,1,1,25,17,39,2,1,2,0,0,0,3,0,6,-5,4,16,0.423418
gya,2,12,2,1,2,39,22,17,2,1,1,0,0,0,3,0,6,-4,4,16,0.281241
ja,2,12,3,1,3,17,44,22,1,1,1,0,0,0,3,0,6,-3,4,16,0.275363
la,2,12,4,2,1,22,34,44,1,1,1,0,0,0,3,0,6,-2,3,16,0.250432
ni,2,12,5,2,2,44,33,34,1,1,1,0,0,0,3,0,6,-1,3,16,0.224699
dhi,2,12,6,2,3,34,41,33,1,2,1,0,0,0,3,1,6,0,3,16,0.281241
yaa,2,12,7,3,1,33,15,41,1,1,2,0,0,0,3,0,6,1,4,16,0.440157
ki,2,12,8,3,2,41,41,15,2,1,1,0,0,0,3,0,6,2,4,16,0.272743
ya,2,12,9,3,3,15,42,41,1,2,1,0,0,0,3,0,6,3,4,16,0.250432
raa,2,12,10,4,1,41,18,42,1,1,2,0,0,0,3,0,6,4,5,16,0.423412
gha,2,12,11,4,2,42,47,18,2,2,1,0,0,0,3,0,6,5,5,16,0.263924
van,2,12,12,4,3,18,39,47,1,2,2,0,0,0,3,0,6,6,5,16,0.472482
bhaar,2,12,1,1,1,47,17,39,2,1,2,0,0,0,3,0,6,-5,5,19,0.412891
gga,2,12,2,1,2,39,47,17,2,2,1,0,0,0,3,0,6,-4,5,19,0.203668
van,2,12,3,1,3,17,30,47,1,2,2,0,0,0,3,0,6,-3,5,19,0.380344
tha,2,12,4,2,1,47,34,30,2,1,2,0,1,0,3,0,6,-2,4,19,0.424312
nnu,2,12,5,2,2,30,25,34,2,1,1,0,0,1,3,0,6,-1,4,19,0.281241
de,2,12,6,2,3,34,25,25,1,2,1,1,0,0,3,1,6,0,4,19,0.281241
dar,2,12,7,3,1,25,36,25,1,2,2,0,1,0,3,0,6,1,5,19,0.398014
ppam,2,12,8,3,2,25,48,36,2,1,2,0,0,1,3,0,6,2,5,19,0.444312
sha,2,12,9,3,3,36,40,48,2,2,1,1,0,0,3,0,6,3,5,19,0.250432
mi,2,12,10,4,1,48,36,40,1,2,2,0,1,0,3,0,6,4,5,19,0.421412
ppi,2,12,11,4,2,40,20,36,2,1,2,0,1,1,3,0,6,5,5,19,0.433322
chhu,2,12,12,4,3,36,40,20,2,2,1,1,0,1,3,0,6,6,5,19,0.281241
maar,2,12,1,1,1,20,17,40,1,1,2,1,0,0,3,0,6,-5,5,19,0.428034
ga,2,12,2,1,2,40,47,17,2,2,1,0,0,0,3,0,6,-4,5,19,0.215071
vum,2,12,3,1,3,17,36,47,1,2,2,0,0,0,3,0,6,-3,5,19,0.423412
pi,2,12,4,2,1,47,34,36,2,2,2,0,1,0,3,0,6,-2,5,19,0.422312
nni,2,12,5,2,2,36,30,34,2,1,2,0,1,1,3,0,6,-1,5,19,0.537575
tta,2,12,6,2,3,34,41,30,2,2,1,1,0,1,3,1,6,0,5,19,0.281241
yoo,2,12,7,3,1,30,33,41,1,2,2,1,0,0,3,0,6,1,5,19,0.433312
dhyaa,2,12,8,3,2,41,36,33,2,1,2,0,0,0,3,0,6,2,5,19,0.435079
pu,2,12,9,3,3,33,42,36,2,1,1,0,0,0,3,0,6,3,5,19,0.216166
ri,2,12,10,4,1,36,36,42,1,2,1,0,0,0,3,0,6,4,4,19,0.250432
pu,2,12,11,4,2,42,15,36,1,1,2,0,1,0,3,0,6,5,4,19,0.421322
kku,2,12,12,4,3,36,30,15,2,2,1,0,0,1,3,0,6,6,4,19,0.262807
thaa,2,12,1,1,1,15,30,30,1,1,2,1,0,0,3,0,6,-5,5,19,0.435605
tha,2,12,2,1,2,30,34,30,2,2,1,0,0,0,3,0,6,-4,5,19,0.235733
noo,2,12,3,1,3,30,25,34,1,2,2,0,0,0,3,0,6,-3,5,19,0.423412
dum,2,12,4,2,1,34,34,25,2,1,2,0,0,0,3,0,6,-2,4,19,0.38809
ni,2,12,5,2,2,25,22,34,2,1,1,0,0,0,3,0,6,-1,4,19,0.22147
ja,2,12,6,2,3,34,40,22,1,2,1,0,0,0,3,1,6,0,4,19,0.281241
maa,2,12,7,3,1,22,30,40,1,1,2,0,0,0,3,0,6,1,4,19,0.433312
thru,2,12,8,3,2,40,22,30,2,1,1,0,0,0,3,0,6,2,4,19,0.234382
ja,2,12,9,3,3,30,34,22,1,2,1,0,0,0,3,0,6,3,4,19,0.281241
na,2,12,10,4,1,22,30,34,1,2,2,0,1,0,3,0,6,4,6,19,0.421225
tthoo,2,12,11,4,2,34,25,30,2,2,2,0,0,1,3,0,6,5,6,19,0.453322
dum,2,12,12,4,3,30,33,25,2,2,2,1,0,0,3,0,6,6,6,19,0.486443
dhaa,2,12,1,1,1,25,30,33,2,1,2,0,0,0,3,0,6,-5,4,18,0.432219
thru,2,12,2,1,2,33,50,30,2,1,1,0,0,0,3,0,6,-4,4,18,0.229007
su,2,12,3,1,3,30,30,50,1,1,1,0,0,0,3,0,6,-3,4,18,0.250432
tha,2,12,4,2,1,50,34,30,1,2,1,0,0,0,3,0,6,-2,4,18,0.250432
naam,2,12,5,2,2,30,17,34,1,1,2,0,0,0,3,0,6,-1,4,18,0.443312
gu,2,12,6,2,3,34,42,17,2,1,1,0,0,0,3,1,6,0,4,18,0.250432
ru,2,12,7,3,1,17,47,42,1,1,1,0,0,0,3,0,6,1,4,18,0.281241
va,2,12,8,3,2,42,42,47,1,2,1,0,0,0,3,0,6,2,4,18,0.200683
ran,2,12,9,3,3,47,30,42,1,2,2,0,0,0,3,0,6,3,4,18,0.423412
tha,2,12,10,4,1,42,34,30,2,2,2,0,1,0,3,0,6,4,6,18,0.423412
nnoo,2,12,11,4,2,30,25,34,2,2,2,0,0,1,3,0,6,5,6,18,0.463942
dum,2,12,12,4,3,34,39,25,2,2,2,1,0,0,3,0,6,6,6,18,0.565471
bhraa,2,12,1,1,1,25,30,39,2,2,2,0,0,0,3,0,6,-5,5,19,0.420627
thaa,2,12,2,1,2,39,15,30,2,1,2,0,1,0,3,0,6,-4,5,19,0.395916
kka,2,12,3,1,3,30,44,15,2,2,1,0,0,1,3,0,6,-3,5,19,0.257364
loo,2,12,4,2,1,15,25,44,1,2,2,1,0,0,3,0,6,-2,5,19,0.424312
dum,2,12,5,2,2,44,36,25,2,1,2,0,0,0,3,0,6,-1,5,19,0.433312
pa,2,12,6,2,3,25,25,36,2,1,1,0,0,0,3,1,6,0,5,19,0.256009
da,2,12,7,3,1,36,41,25,1,2,1,0,0,0,3,0,6,1,4,19,0.281241
yoo,2,12,8,3,2,25,25,41,1,1,2,0,0,0,3,0,6,2,4,19,0.378743
du,2,12,9,3,3,41,40,25,2,2,1,0,0,0,3,0,6,3,4,19,0.237384
mo,2,12,10,4,1,25,34,40,1,2,2,0,1,0,3,0,6,4,5,19,0.421412
nni,2,12,11,4,2,40,20,34,2,1,2,0,1,1,3,0,6,5,5,19,0.447139
chhu,2,12,12,4,3,34,47,20,2,2,1,1,0,1,3,0,6,6,5,19,0.281241
va,2,12,1,1,1,20,34,47,1,1,2,1,1,0,3,0,6,-5,4,17,0.421322
nne,2,12,2,1,2,47,30,34,2,1,1,0,0,1,3,0,6,-4,4,17,0.250432
thi,2,12,3,1,3,34,42,30,1,2,1,1,0,0,3,0,6,-3,4,17,0.250432
ree,2,12,4,2,1,30,30,42,1,1,2,0,1,0,3,0,6,-2,4,17,0.413835
tto,2,12,5,2,2,42,42,30,2,1,1,0,0,1,3,0,6,-1,4,17,0.233603
ru,2,12,6,2,3,30,36,42,1,1,1,1,0,0,3,1,6,0,4,17,0.281241
pow,2,12,7,3,1,42,42,36,1,1,1,0,0,0,3,0,6,1,3,17,0.281241
ra,2,12,8,3,2,36,22,42,1,1,1,0,0,0,3,0,6,2,3,17,0.281241
ja,2,12,9,3,3,42,34,22,1,2,1,0,0,0,3,0,6,3,3,17,0.285672
na,2,12,10,4,1,22,30,34,1,2,2,0,1,0,3,0,6,4,6,17,0.421412
tthoo,2,12,11,4,2,34,25,30,2,2,2,0,0,1,3,0,6,5,6,17,0.554752
dum,2,12,12,4,3,30,20,25,2,2,2,1,0,0,3,0,6,6,6,17,0.517784
che,2,12,1,1,1,25,34,20,2,1,2,0,1,0,3,0,6,-5,4,18,0.423322
nnu,2,12,2,1,2,20,40,34,2,1,1,0,0,1,3,0,6,-4,4,18,0.281241
ma,2,12,3,1,3,34,51,40,1,2,1,1,0,0,3,0,6,-3,4,18,0.217686
haa,2,12,4,2,1,40,42,51,1,2,2,0,0,0,3,0,6,-2,5,18,0.439227
raa,2,12,5,2,2,51,22,42,2,1,2,0,0,0,3,0,6,-1,5,18,0.433312
ja,2,12,6,2,3,42,33,22,2,2,1,0,0,0,3,1,6,0,5,18,0.314917
dhaa,2,12,7,3,1,22,34,33,1,1,2,0,0,0,3,0,6,1,4,18,0.414365
ni,2,12,8,3,2,33,41,34,2,1,1,0,0,0,3,0,6,2,4,18,0.167839
ya,2,12,9,3,3,34,15,41,1,2,1,0,0,0,3,0,6,3,4,18,0.281241
kam,2,12,10,4,1,41,36,15,1,2,2,0,0,0,3,0,6,4,5,18,0.468652
pu,2,12,11,4,2,15,15,36,2,1,2,0,1,0,3,0,6,5,5,18,0.421322
kku,2,12,12,4,3,36,47,15,2,2,1,0,0,1,3,0,6,6,5,18,0.281241
va,2,12,1,1,1,15,34,47,1,1,2,1,1,0,3,0,6,-5,4,17,0.421322
nni,2,12,2,1,2,47,30,34,2,1,1,0,0,1,3,0,6,-4,4,17,0.250432
thu,2,12,3,1,3,34,50,30,1,1,1,1,0,0,3,0,6,-3,4,17,0.290775
sow,2,12,4,2,1,30,16,50,1,2,1,0,0,0,3,0,6,-2,4,17,0.281241
khyam,2,12,5,2,2,50,22,16,1,1,2,0,0,0,3,0,6,-1,4,17,0.517062
ja,2,12,6,2,3,16,17,22,2,2,1,0,0,0,3,1,6,0,4,17,0.224386
ga,2,12,7,3,1,22,30,17,1,1,2,0,1,0,3,0,6,1,4,17,0.431312
tthi,2,12,8,3,2,17,34,30,2,1,1,0,0,1,3,0,6,2,4,17,0.250432
nu,2,12,9,3,3,30,42,34,1,2,1,1,0,0,3,0,6,3,4,17,0.290727
raa,2,12,10,4,1,34,18,42,1,1,2,0,0,0,3,0,6,4,5,17,0.454926
gha,2,12,11,4,2,42,47,18,2,2,1,0,0,0,3,0,6,5,5,17,0.247358
van,2,12,12,4,3,18,30,47,1,2,2,0,0,0,3,0,6,6,5,17,0.50926
tha,2,12,1,1,1,47,34,30,2,1,2,0,1,0,3,0,6,-5,4,18,0.423322
nnu,2,12,2,1,2,30,25,34,2,1,1,0,0,1,3,0,6,-4,4,18,0.29776
de,2,12,3,1,3,34,34,25,1,2,1,1,0,0,3,0,6,-3,4,18,0.281241
naa,2,12,4,2,1,25,34,34,1,2,2,0,0,0,3,0,6,-2,5,18,0.403675
naa,2,12,5,2,2,34,17,34,2,1,2,0,0,0,3,0,6,-1,5,18,0.419294
gu,2,12,6,2,3,34,34,17,2,1,1,0,0,0,3,1,6,0,5,18,0.223354
na,2,12,7,3,1,17,17,34,1,1,1,0,0,0,3,0,6,1,4,18,0.281241
ga,2,12,8,3,2,34,34,17,1,2,1,0,0,0,3,0,6,2,4,18,0.256093
nam,2,12,9,3,3,17,15,34,1,2,2,0,0,0,3,0,6,3,4,18,0.393683
kaan,2,12,10,4,1,34,15,15,2,1,2,0,0,0,3,0,6,4,5,18,0.444869
ka,2,12,11,4,2,15,41,15,2,2,1,0,0,0,3,0,6,5,5,18,0.229815
yaal,2,12,12,4,3,15,42,41,1,1,2,0,0,0,3,0,6,6,5,18,0.554119
ru,2,12,1,1,1,41,25,42,2,2,1,0,0,0,3,0,6,-5,4,17,0.281241
dran,2,12,2,1,2,42,36,25,1,1,2,0,0,0,3,0,6,-4,4,17,0.424393
pa,2,12,3,1,3,25,42,36,2,1,1,0,0,0,3,0,6,-3,4,17,0.200436
ra,2,12,4,2,1,36,40,42,1,2,1,0,0,0,3,0,6,-2,4,17,0.250432
mee,2,12,5,2,2,42,48,40,1,1,2,0,0,0,3,0,6,-1,4,17,0.433312
shwa,2,12,6,2,3,40,42,48,2,2,1,0,0,0,3,1,6,0,4,17,0.281241
ran,2,12,7,3,1,48,22,42,1,1,2,0,0,0,3,0,6,1,4,17,0.433312
ja,2,12,8,3,2,42,17,22,2,1,1,0,0,0,3,0,6,2,4,17,0.223796
ga,2,12,9,3,3,22,25,17,1,2,1,0,0,0,3,0,6,3,4,17,0.281241
dii,2,12,10,4,1,17,48,25,1,1,2,0,0,0,3,0,6,4,5,17,0.423412
shwa,2,12,11,4,2,25,42,48,2,2,1,0,0,0,3,0,6,5,5,17,0.281241
ran,2,12,12,4,3,48,15,42,1,1,2,0,0,0,3,0,6,6,5,17,0.527155
ka,2,12,1,1,1,42,32,15,2,1,1,0,0,0,3,0,6,-5,3,15,0.250432
ddru,2,12,2,1,2,15,50,32,1,1,1,0,0,0,3,0,6,-4,3,15,0.250432
su,2,12,3,1,3,32,30,50,1,1,1,0,0,0,3,0,6,-3,3,15,0.250432
tha,2,12,4,2,1,50,17,30,1,1,1,0,0,0,3,0,6,-2,3,15,0.250432
ga,2,12,5,2,2,30,34,17,1,1,1,0,0,0,3,0,6,-1,3,15,0.26197
na,2,12,6,2,3,17,39,34,1,2,1,0,0,0,3,1,6,0,3,15,0.281241
bhoo,2,12,7,3,1,34,48,39,1,1,2,0,0,0,3,0,6,1,4,15,0.443312
sha,2,12,8,3,2,39,34,48,2,1,1,0,0,0,3,0,6,2,4,15,0.250432
na,2,12,9,3,3,48,39,34,1,2,1,0,0,0,3,0,6,3,4,15,0.281241
bhoo,2,12,10,4,1,34,48,39,1,1,2,0,0,0,3,0,6,4,5,15,0.433412
shi,2,12,11,4,2,39,30,48,2,2,1,0,0,0,3,0,6,5,5,15,0.250432
than,2,12,12,4,3,48,20,30,1,1,2,0,0,0,3,0,6,6,5,15,0.485462
chi,2,12,1,1,1,30,32,20,2,2,1,0,0,0,3,0,6,-5,4,16,0.281241
ddroo,2,12,2,1,2,20,36,32,1,1,2,0,0,0,3,0,6,-4,4,16,0.421717
pa,2,12,3,1,3,32,34,36,2,1,1,0,0,0,3,0,6,-3,4,16,0.201113
na,2,12,4,2,1,36,25,34,1,1,1,0,0,0,3,0,6,-2,4,16,0.296245
dwa,2,12,5,2,2,34,41,25,1,2,1,0,0,0,3,0,6,-1,4,16,0.298903
yan,2,12,6,2,3,25,40,41,1,1,2,0,0,0,3,1,6,0,4,16,0.524312
mru,2,12,7,3,1,41,30,40,2,1,1,0,0,0,3,0,6,1,3,16,0.281241
thyu,2,12,8,3,2,40,24,30,1,1,1,0,0,0,3,0,6,2,3,16,0.250432
nja,2,12,9,3,3,30,41,24,1,2,1,0,0,0,3,0,6,3,3,16,0.281241
yan,2,12,10,4,1,24,36,41,1,1,2,0,0,0,3,0,6,4,5,16,0.402092
pa,2,12,11,4,2,41,42,36,2,2,1,0,0,0,3,0,6,5,5,16,0.219313
ran,2,12,12,4,3,36,39,42,1,1,2,0,0,0,3,0,6,6,5,16,0.464734
bha,2,12,1,1,1,42,32,39,2,1,1,0,0,0,3,0,6,-5,3,15,0.281241
ddra,2,12,2,1,2,39,36,32,1,1,1,0,0,0,3,0,6,-4,3,15,0.281241
pra,2,12,3,1,3,32,32,36,1,2,1,0,0,0,3,0,6,-3,3,15,0.234845
ddan,2,12,4,2,1,36,39,32,1,1,2,0,0,0,3,0,6,-2,4,15,0.403947
bha,2,12,5,2,2,32,17,39,2,1,1,0,0,0,3,0,6,-1,4,15,0.227708
ga,2,12,6,2,3,39,47,17,1,2,1,0,0,0,3,1,6,0,4,15,0.281241
vaan,2,12,7,3,1,17,39,47,1,1,2,0,0,0,3,0,6,1,4,15,0.496667
bha,2,12,8,3,2,47,47,39,2,1,1,0,0,0,3,0,6,2,4,15,0.234416
va,2,12,9,3,3,39,39,47,1,1,1,0,0,0,3,0,6,3,4,15,0.250432
bha,2,12,10,4,1,47,24,39,1,1,1,0,0,0,3,0,6,4,4,15,0.218017
nja,2,12,11,4,2,39,34,24,1,2,1,0,0,0,3,0,6,5,4,15,0.281241
nan,2,12,12,4,3,24,42,34,1,1,2,0,0,0,3,0,6,6,4,15,0.456042
ru,2,12,1,1,1,34,32,42,2,2,1,0,0,0,3,0,6,-5,4,18,0.250432
ddraa,2,12,2,1,2,42,34,32,1,1,2,0,0,0,3,0,6,-4,4,18,0.459242
ni,2,12,3,1,3,32,41,34,2,2,1,0,0,0,3,0,6,-3,4,18,0.244552
yaa,2,12,4,2,1,34,15,41,1,1,2,0,0,0,3,0,6,-2,4,18,0.381404
ki,2,12,5,2,2,41,41,15,2,1,1,0,0,0,3,0,6,-1,4,18,0.250432
ya,2,12,6,2,3,15,25,41,1,2,1,0,0,0,3,1,6,0,4,18,0.281241
dee,2,12,7,3,1,41,47,25,1,2,2,0,0,0,3,0,6,1,5,18,0.433312
vi,2,12,8,3,2,25,15,47,2,1,2,0,1,0,3,0,6,2,5,18,0.422312
