Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
lla,1,14,9,4,2,36,50,44,2,2,1,0,0,1,3,0,7,2,5,23,0.250432
srii,1,14,10,4,3,44,42,50,1,2,2,1,0,0,3,0,7,3,5,23,0.49065
raa,1,14,11,5,1,50,40,42,2,2,2,0,0,0,2,0,7,4,4,23,0.423412
maa ,1,14,12,5,2,42,41,40,2,1,2,0,0,0,2,0,7,5,4,23,0.411245
ya,1,14,13,6,1,40,34,41,2,2,1,0,0,0,2,0,7,6,3,23,0.205644
nam,1,14,14,6,2,41,39,34,1,2,2,0,0,0,2,0,7,7,3,23,0.474872
bhoo,1,14,1,1,1,34,33,39,2,1,2,0,0,0,3,0,7,-6,5,25,0.466582
dha,1,14,2,1,2,39,51,33,2,2,1,0,0,0,3,0,7,-5,5,25,0.249885
hii,1,14,3,1,3,33,34,51,1,2,2,0,0,0,3,0,7,-4,5,25,0.423412
nan,1,14,4,2,1,51,40,34,2,2,2,0,0,0,2,0,7,-3,4,25,0.41192
maar,1,14,5,2,2,34,15,40,2,1,2,0,1,0,2,0,7,-2,4,25,0.433394
kka,1,14,6,3,1,40,42,15,2,1,1,0,0,1,2,0,7,-1,2,25,0.19408
ri,1,14,7,3,2,15,41,42,1,2,1,1,0,0,2,1,7,0,2,25,0.236219
yam,1,14,8,4,1,42,47,41,1,2,2,0,0,0,3,0,7,1,5,25,0.433312
va,1,14,9,4,2,41,34,47,2,2,2,0,1,0,3,0,7,2,5,25,0.393222
nnam,1,14,10,4,3,47,20,34,2,2,2,0,0,1,3,0,7,3,5,25,0.474391
cho,1,14,11,5,1,34,44,20,2,2,2,1,1,0,2,0,7,4,4,25,0.423412
llii,1,14,12,5,2,20,25,44,2,2,2,0,0,1,2,0,7,5,4,25,0.468535
du,1,14,13,6,1,44,34,25,2,2,2,1,1,0,2,0,7,6,4,25,0.376888
nneen,1,14,14,6,2,25,47,34,2,2,2,0,0,1,2,0,7,7,4,25,0.504872
vee,1,14,1,1,1,34,25,47,2,1,2,1,0,0,3,0,7,-6,5,22,0.408072
da,1,14,2,1,2,47,47,25,2,2,1,0,0,0,3,0,7,-5,5,22,0.203369
vee,1,14,3,1,3,25,25,47,1,2,2,0,0,0,3,0,7,-4,5,22,0.423412
dan,1,14,4,2,1,47,17,25,2,1,2,0,0,0,2,0,7,-3,3,22,0.381865
ga,1,14,5,2,2,25,47,17,2,2,1,0,0,0,2,0,7,-2,3,22,0.22764
vee,1,14,6,3,1,17,25,47,1,2,2,0,0,0,2,0,7,-1,4,22,0.433312
dan,1,14,7,3,2,47,30,25,2,2,2,0,0,0,2,1,7,0,4,22,0.524312
thaa,1,14,8,4,1,25,25,30,2,1,2,0,0,0,3,0,7,1,5,22,0.443312
di,1,14,9,4,2,30,47,25,2,1,1,0,0,0,3,0,7,2,5,22,0.205189
vi,1,14,10,4,3,25,25,47,1,1,1,0,0,0,3,0,7,3,5,22,0.280783
dya,1,14,11,5,1,47,15,25,1,1,1,0,0,0,2,0,7,4,2,22,0.228032
ka,1,14,12,5,2,25,44,15,1,2,1,0,0,0,2,0,7,5,2,22,0.281241
le,1,14,13,6,1,15,44,44,1,2,2,0,1,0,2,0,7,6,4,22,0.420313
llaam,1,14,14,6,2,44,20,44,2,1,2,0,0,1,2,0,7,7,4,22,0.494872
chea,1,14,1,1,1,44,30,20,2,1,1,1,0,0,3,0,7,-6,3,20,0.281241
tha,1,14,2,1,2,20,50,30,1,1,1,0,0,0,3,0,7,-5,3,20,0.200176
si,1,14,3,1,3,30,30,50,1,1,1,0,0,0,3,0,7,-4,3,20,0.281241
the,1,14,4,2,1,50,44,30,1,1,1,0,0,0,2,0,7,-3,2,20,0.250432
li,1,14,5,2,2,30,24,44,1,1,1,0,0,0,2,0,7,-2,2,20,0.198742
nju,1,14,6,3,1,44,34,24,1,2,1,0,0,0,2,0,7,-1,3,20,0.281241
nar,1,14,7,3,2,24,34,34,1,2,2,0,1,0,2,1,7,0,3,20,0.57834
nnaa,1,14,8,4,1,34,47,34,2,2,2,0,0,1,3,0,7,1,6,20,0.443312
voo,1,14,9,4,2,34,44,47,2,2,2,1,0,0,3,0,7,2,6,20,0.430991
lam,1,14,10,4,3,47,30,44,2,1,2,0,0,0,3,0,7,3,6,20,0.423412
thu,1,14,11,5,1,44,34,30,2,2,1,0,0,0,2,0,7,4,3,20,0.220852
nay,1,14,12,5,2,30,15,34,1,1,2,0,1,0,2,0,7,5,3,20,0.423322
kka,1,14,13,6,1,34,34,15,2,2,1,0,0,1,2,0,7,6,3,20,0.281241
nam,1,14,14,6,2,15,50,34,1,1,2,1,0,0,2,0,7,7,3,20,0.474872
su,1,14,1,1,1,34,42,50,2,1,1,0,0,0,3,0,7,-6,4,17,0.250432
